N: 1024 || counter: 9695 || Average MET: 0.000000
N: 2048 || counter: 21413 || Average MET: 0.000000
N: 1024 || counter: 9710 || Average MET: 0.000000
N: 2048 || counter: 21399 || Average MET: 0.000000
N: 1024 || counter: 9670 || Average MET: 0.000000
N: 2048 || counter: 21420 || Average MET: 0.001563
N: 4096 || counter: 46936 || Average MET: 0.001719
N: 8192 || counter: 102049 || Average MET: 0.001734
N: 16384 || counter: 220418 || Average MET: 0.001736
N: 32768 || counter: 473614 || Average MET: 0.007986
N: 65536 || counter: 1013121 || Average MET: 0.014861
N: 1024 || counter: 9688 || Average MET: 0.000000
N: 2048 || counter: 21401 || Average MET: 0.000000
N: 1024 || counter: 9676 || Average MET: 0.000000
N: 2048 || counter: 21418 || Average MET: 0.000000
N: 4096 || counter: 46969 || Average MET: 0.000000
N: 8192 || counter: 102094 || Average MET: 0.001563
N: 16384 || counter: 220540 || Average MET: 0.000156
N: 1024 || counter: 9688 || Average MET: 0.000000
N: 2048 || counter: 21426 || Average MET: 0.001563
N: 4096 || counter: 46890 || Average MET: 0.000156
N: 8192 || counter: 102075 || Average MET: 0.003141
N: 16384 || counter: 220423 || Average MET: 0.001877
N: 32768 || counter: 473715 || Average MET: 0.003313
N: 65536 || counter: 1012860 || Average MET: 0.012831
N: 131072 || counter: 2156749 || Average MET: 0.029408
N: 262144 || counter: 4575883 || Average MET: 0.060753
N: 1024 || counter: 9702 || Average MET: 0.000000
N: 2048 || counter: 21443 || Average MET: 0.000000
N: 1024 || counter: 9668 || Average MET: 0.000000
N: 2048 || counter: 21369 || Average MET: 0.000000
N: 4096 || counter: 46949 || Average MET: 0.001563
N: 8192 || counter: 102030 || Average MET: 0.000156
N: 1024 || counter: 9694 || Average MET: 0.000000
N: 2048 || counter: 21404 || Average MET: 0.000000
N: 1024 || counter: 9704 || Average MET: 0.000000
N: 2048 || counter: 21449 || Average MET: 0.000000
N: 1024 || counter: 9684 || Average MET: 0.000000
N: 2048 || counter: 21417 || Average MET: 0.000000
N: 1024 || counter: 9713 || Average MET: 0.000000
N: 2048 || counter: 21444 || Average MET: 0.000000
N: 4096 || counter: 46955 || Average MET: 0.000000
N: 8192 || counter: 102168 || Average MET: 0.001563
N: 1024 || counter: 9693 || Average MET: 0.000000
N: 2048 || counter: 21405 || Average MET: 0.000000
N: 4096 || counter: 46906 || Average MET: 0.003125
N: 8192 || counter: 102136 || Average MET: 0.001875
N: 16384 || counter: 220493 || Average MET: 0.004875
N: 1024 || counter: 9675 || Average MET: 0.000000
N: 2048 || counter: 21432 || Average MET: 0.000000
N: 4096 || counter: 46952 || Average MET: 0.000000
N: 8192 || counter: 102032 || Average MET: 0.001563
N: 1024 || counter: 9674 || Average MET: 0.000000
N: 2048 || counter: 21414 || Average MET: 0.000000
N: 4096 || counter: 46897 || Average MET: 0.000000
N: 8192 || counter: 102073 || Average MET: 0.003125
